sbj_num,formula,overall_liking_score,atributo,nivel,producto
181065893,182,9,porosidad,JAR,Churritos Prueba
181169932,182,9,olor,JAR,Churritos Prueba
181169932,182,9,color,JAR,Churritos Prueba
181169932,182,9,sal,JAR,Churritos Prueba
181169932,182,9,queso,JAR,Churritos Prueba
181169932,182,9,crujiente,JAR,Churritos Prueba
181169932,182,9,textura,JAR,Churritos Prueba
181169932,182,9,porosidad,JAR,Churritos Prueba
181031766,182,7,olor,TL,Churritos Prueba
181031766,182,7,color,TL,Churritos Prueba
181031766,182,7,sal,TM,Churritos Prueba
181031766,182,7,queso,TM,Churritos Prueba
181031766,182,7,crujiente,TL,Churritos Prueba
181031766,182,7,textura,JAR,Churritos Prueba
181031766,182,7,porosidad,TM,Churritos Prueba
181017249,182,9,olor,TM,Churritos Prueba
181017249,182,9,color,JAR,Churritos Prueba
181017249,182,9,sal,JAR,Churritos Prueba
181017249,182,9,queso,JAR,Churritos Prueba
181017249,182,9,crujiente,JAR,Churritos Prueba
181017249,182,9,textura,JAR,Churritos Prueba
181017249,182,9,porosidad,JAR,Churritos Prueba
181070589,182,9,olor,JAR,Churritos Prueba
181070589,182,9,color,JAR,Churritos Prueba
181070589,182,9,sal,JAR,Churritos Prueba
181070589,182,9,queso,JAR,Churritos Prueba
181070589,182,9,crujiente,JAR,Churritos Prueba
181070589,182,9,textura,JAR,Churritos Prueba
181070589,182,9,porosidad,JAR,Churritos Prueba
181068738,182,8,olor,TL,Churritos Prueba
181068738,182,8,color,TL,Churritos Prueba
181068738,182,8,sal,JAR,Churritos Prueba
181068738,182,8,queso,TL,Churritos Prueba
181068738,182,8,crujiente,JAR,Churritos Prueba
181068738,182,8,textura,TL,Churritos Prueba
181068738,182,8,porosidad,TL,Churritos Prueba
181117148,182,6,olor,TM,Churritos Prueba
181117148,182,6,color,TL,Churritos Prueba
181117148,182,6,sal,TM,Churritos Prueba
181117148,182,6,queso,TM,Churritos Prueba
181117148,182,6,crujiente,JAR,Churritos Prueba
181117148,182,6,textura,JAR,Churritos Prueba
181117148,182,6,porosidad,JAR,Churritos Prueba
180961520,182,9,olor,TL,Churritos Prueba
180961520,182,9,color,TM,Churritos Prueba
180961520,182,9,sal,JAR,Churritos Prueba
180961520,182,9,queso,TM,Churritos Prueba
180961520,182,9,crujiente,TM,Churritos Prueba
180961520,182,9,textura,TM,Churritos Prueba
180961520,182,9,porosidad,TM,Churritos Prueba
180947769,182,8,olor,TM,Churritos Prueba
180947769,182,8,color,JAR,Churritos Prueba
180947769,182,8,sal,JAR,Churritos Prueba
180947769,182,8,queso,JAR,Churritos Prueba
180947769,182,8,crujiente,JAR,Churritos Prueba
180947769,182,8,textura,JAR,Churritos Prueba
180947769,182,8,porosidad,JAR,Churritos Prueba
181030688,182,7,olor,TL,Churritos Prueba
181030688,182,7,color,TM,Churritos Prueba
181030688,182,7,sal,TM,Churritos Prueba
181030688,182,7,queso,TL,Churritos Prueba
181030688,182,7,crujiente,TM,Churritos Prueba
181030688,182,7,textura,TM,Churritos Prueba
181030688,182,7,porosidad,TM,Churritos Prueba
180949636,182,7,olor,TM,Churritos Prueba
180949636,182,7,color,TM,Churritos Prueba
180949636,182,7,sal,JAR,Churritos Prueba
180949636,182,7,queso,JAR,Churritos Prueba
180949636,182,7,crujiente,TM,Churritos Prueba
180949636,182,7,textura,JAR,Churritos Prueba
180949636,182,7,porosidad,JAR,Churritos Prueba
181070432,182,8,olor,TL,Churritos Prueba
181070432,182,8,color,TL,Churritos Prueba
181070432,182,8,sal,JAR,Churritos Prueba
181070432,182,8,queso,TL,Churritos Prueba
181070432,182,8,crujiente,JAR,Churritos Prueba
181070432,182,8,textura,TM,Churritos Prueba
181070432,182,8,porosidad,TM,Churritos Prueba
180977204,182,8,olor,JAR,Churritos Prueba
180977204,182,8,color,TM,Churritos Prueba
180977204,182,8,sal,JAR,Churritos Prueba
180977204,182,8,queso,TL,Churritos Prueba
180977204,182,8,crujiente,TM,Churritos Prueba
180977204,182,8,textura,TM,Churritos Prueba
180977204,182,8,porosidad,JAR,Churritos Prueba
181070305,182,8,olor,TM,Churritos Prueba
181070305,182,8,color,JAR,Churritos Prueba
181070305,182,8,sal,JAR,Churritos Prueba
181070305,182,8,queso,JAR,Churritos Prueba
181070305,182,8,crujiente,JAR,Churritos Prueba
181070305,182,8,textura,JAR,Churritos Prueba
181070305,182,8,porosidad,JAR,Churritos Prueba
181020823,182,9,olor,JAR,Churritos Prueba
181020823,182,9,color,JAR,Churritos Prueba
181020823,182,9,sal,JAR,Churritos Prueba
181020823,182,9,queso,TL,Churritos Prueba
181020823,182,9,crujiente,JAR,Churritos Prueba
181020823,182,9,textura,JAR,Churritos Prueba
181020823,182,9,porosidad,JAR,Churritos Prueba
180977521,182,9,olor,JAR,Churritos Prueba
180977521,182,9,color,JAR,Churritos Prueba
180977521,182,9,sal,JAR,Churritos Prueba
180977521,182,9,queso,JAR,Churritos Prueba
180977521,182,9,crujiente,JAR,Churritos Prueba
180977521,182,9,textura,JAR,Churritos Prueba
180977521,182,9,porosidad,JAR,Churritos Prueba
180966092,182,7,olor,JAR,Churritos Prueba
180966092,182,7,color,TL,Churritos Prueba
180966092,182,7,sal,TM,Churritos Prueba
180966092,182,7,queso,JAR,Churritos Prueba
180966092,182,7,crujiente,TL,Churritos Prueba
180966092,182,7,textura,TM,Churritos Prueba
180966092,182,7,porosidad,JAR,Churritos Prueba
181017597,182,9,olor,JAR,Churritos Prueba
181017597,182,9,color,JAR,Churritos Prueba
181017597,182,9,sal,JAR,Churritos Prueba
181017597,182,9,queso,JAR,Churritos Prueba
181017597,182,9,crujiente,JAR,Churritos Prueba
181017597,182,9,textura,JAR,Churritos Prueba
181017597,182,9,porosidad,JAR,Churritos Prueba
180977206,182,8,olor,JAR,Churritos Prueba
180977206,182,8,color,JAR,Churritos Prueba
180977206,182,8,sal,JAR,Churritos Prueba
180977206,182,8,queso,JAR,Churritos Prueba
180977206,182,8,crujiente,TM,Churritos Prueba
180977206,182,8,textura,JAR,Churritos Prueba
180977206,182,8,porosidad,JAR,Churritos Prueba
181123190,182,4,olor,TL,Churritos Prueba
181123190,182,4,color,TL,Churritos Prueba
181123190,182,4,sal,JAR,Churritos Prueba
181123190,182,4,queso,TL,Churritos Prueba
181123190,182,4,crujiente,JAR,Churritos Prueba
181123190,182,4,textura,JAR,Churritos Prueba
181123190,182,4,porosidad,TL,Churritos Prueba
181058937,182,7,olor,JAR,Churritos Prueba
181058937,182,7,color,JAR,Churritos Prueba
181058937,182,7,sal,JAR,Churritos Prueba
181058937,182,7,queso,JAR,Churritos Prueba
181058937,182,7,crujiente,JAR,Churritos Prueba
181058937,182,7,textura,JAR,Churritos Prueba
181058937,182,7,porosidad,JAR,Churritos Prueba
180970385,182,9,olor,TM,Churritos Prueba
180970385,182,9,color,TM,Churritos Prueba
180970385,182,9,sal,JAR,Churritos Prueba
180970385,182,9,queso,TM,Churritos Prueba
180970385,182,9,crujiente,TM,Churritos Prueba
180970385,182,9,textura,TM,Churritos Prueba
180970385,182,9,porosidad,TM,Churritos Prueba
180971951,182,7,olor,TM,Churritos Prueba
180971951,182,7,color,JAR,Churritos Prueba
