sbj_num,producto1,olor,color,overall_liking,sal,queso,crujiente,textura,porosidad
181036101,Fórmula 781,2,2,8,2,2,2,2,2
181036101,Fórmula 182,2,1,7,2,2,2,2,2
181025756,Fórmula 182,1,2,9,2,1,2,2,2
181025756,Fórmula 781,1,3,9,2,3,2,2,2
180945499,Fórmula 182,2,3,9,2,2,3,2,2
180945499,Fórmula 781,2,3,9,2,3,3,2,3
181113996,Fórmula 182,2,2,8,2,2,2,2,2
181113996,Fórmula 781,2,2,8,2,3,2,3,2
181115384,Fórmula 781,2,2,9,2,2,2,2,2
181115384,Fórmula 182,2,2,9,2,2,2,2,2
181016368,Fórmula 781,2,2,9,2,2,2,2,2
181016368,Fórmula 182,3,2,9,2,3,2,2,3
181061734,Fórmula 182,1,1,8,2,2,2,2,2
181061734,Fórmula 781,3,3,6,3,3,1,3,3
181068223,Fórmula 781,1,1,9,1,1,2,2,2
181068223,Fórmula 182,3,2,5,3,1,1,1,1
180971127,Fórmula 781,2,2,9,2,2,2,2,2
180971127,Fórmula 182,1,1,6,3,1,1,1,1
180946581,Fórmula 182,2,2,7,2,2,2,2,2
180946581,Fórmula 781,1,3,6,1,1,3,3,3
180945578,Fórmula 781,2,2,9,2,2,2,2,2
180945578,Fórmula 182,1,3,6,3,1,1,1,1
181017248,Fórmula 182,2,2,8,2,2,2,2,2
181017248,Fórmula 781,1,2,8,2,1,2,2,2
180968739,Fórmula 781,1,2,9,1,2,2,2,2
180968739,Fórmula 182,3,1,4,3,1,1,3,3
180948514,Fórmula 781,1,1,9,3,2,1,1,3
180948514,Fórmula 182,3,3,9,3,3,3,3,3
181032183,Fórmula 182,2,2,9,2,2,2,2,2
181032183,Fórmula 781,2,3,9,3,2,2,2,2
180971952,Fórmula 781,2,2,7,2,2,1,2,2
180971952,Fórmula 182,1,1,6,3,1,2,2,2
180965562,Fórmula 182,3,3,9,3,3,1,2,2
180965562,Fórmula 781,1,1,6,3,3,1,1,1
181012061,Fórmula 781,2,3,9,2,2,2,2,2
181012061,Fórmula 182,3,2,6,3,3,2,3,2
181065624,Fórmula 781,2,2,9,2,2,2,2,2
181065624,Fórmula 182,1,1,8,3,2,1,1,1
181109760,Fórmula 182,3,3,8,1,1,3,1,1
181109760,Fórmula 781,1,1,6,1,1,1,1,3
181016387,Fórmula 781,2,2,8,2,2,2,2,2
181016387,Fórmula 182,1,1,6,1,1,1,1,1
180972202,Fórmula 182,2,2,9,2,2,3,2,2
180972202,Fórmula 781,1,3,6,1,1,1,1,1
181070628,Fórmula 781,3,2,8,2,2,2,2,2
181070628,Fórmula 182,1,1,6,1,1,1,1,1
181032087,Fórmula 781,3,2,8,2,3,2,2,2
181032087,Fórmula 182,3,1,6,3,3,2,2,2
180962524,Fórmula 781,2,2,9,2,2,1,2,2
180962524,Fórmula 182,1,1,7,3,1,1,1,1
181071574,Fórmula 781,1,2,7,2,2,1,2,2
181071574,Fórmula 182,3,1,7,2,1,1,1,1
181015721,Fórmula 781,2,2,7,2,2,2,2,2
181015721,Fórmula 182,2,1,7,3,1,1,1,2
181116571,Fórmula 781,2,2,8,2,2,2,2,2
181116571,Fórmula 182,2,2,9,2,2,2,2,2
