sbj_num,muni,pais,sexo,nse,edad,rango_edad,rotacion1,index1,producto1,p1,p2,p3,p3_1,p3_2,p4,p5,p5_1,p5_2,p6,p7,p8_1,p8_2,p8_3,p8_4,p8_5,p9_1,p9_2,p9_3,p9_4,p9_5,p10,p11,p12,p12_1,p12_2,p13,p14,p14_1,p14_2,p15,p16,p17,p17_1,p17_2,lik_por,nivel_por,nivel_por_1,nivel_por_2,lik_tex,nivel_tex,nivel_tex_1,nivel_tex_2,p18,preferencia
181065626,4,2,1,2,19,2,2,PRODUCTO1,2,7,7,2,NA,NA,8,2,NA,NA,8,8,275,11,51,NA,NA,0,NA,NA,NA,NA,8,8,2,NA,NA,8,2,NA,NA,8,3,2,NA,NA,9,2,NA,NA,8,2,NA,NA,5,781
181065626,4,2,1,2,19,2,2,PRODUCTO2,1,7,8,3,NA,2,7,1,2,NA,7,8,275,51,NA,NA,NA,390,NA,NA,NA,NA,8,6,3,NA,1,8,2,NA,NA,8,3,2,NA,NA,8,2,NA,NA,8,2,NA,NA,5,781
181060887,4,2,2,2,40,3,1,PRODUCTO1,1,6,8,2,NA,NA,9,2,NA,NA,8,9,51,113,57,NA,NA,0,NA,NA,NA,NA,9,9,2,NA,NA,9,2,NA,NA,9,5,2,NA,NA,9,2,NA,NA,9,2,NA,NA,5,781
181060887,4,2,2,2,40,3,1,PRODUCTO2,2,6,7,2,NA,NA,7,3,NA,2,8,9,111,51,86,NA,NA,702,713,NA,NA,NA,9,9,2,NA,NA,9,2,NA,NA,9,5,2,NA,NA,9,2,NA,NA,9,2,NA,NA,5,781
181126494,4,2,1,2,33,3,2,PRODUCTO1,2,7,8,2,NA,NA,8,2,NA,NA,9,9,51,NA,NA,NA,NA,392,NA,NA,NA,NA,9,8,2,NA,NA,9,2,NA,NA,9,5,2,NA,NA,8,2,NA,NA,8,2,NA,NA,5,781
181126494,4,2,1,2,33,3,2,PRODUCTO2,1,7,8,2,NA,NA,8,3,NA,1,8,9,59,NA,NA,NA,NA,390,NA,NA,NA,NA,9,7,3,NA,1,9,2,NA,NA,8,5,2,NA,NA,8,2,NA,NA,8,2,NA,NA,5,781
181060598,4,2,2,2,15,2,2,PRODUCTO1,2,3,3,1,2,NA,7,3,NA,2,4,6,51,10,NA,NA,NA,702,NA,NA,NA,NA,6,3,3,NA,1,4,3,NA,1,6,2,1,2,NA,7,2,NA,NA,7,2,NA,NA,1,182
181060598,4,2,2,2,15,2,2,PRODUCTO2,1,6,7,2,NA,NA,6,1,2,NA,5,7,51,275,NA,NA,NA,0,NA,NA,NA,NA,6,8,1,2,NA,8,2,NA,NA,7,3,2,NA,NA,7,2,NA,NA,7,2,NA,NA,5,182
180972012,4,2,1,2,15,2,1,PRODUCTO1,1,3,9,1,2,NA,8,2,NA,NA,9,9,11,51,NA,NA,NA,0,NA,NA,NA,NA,9,8,1,2,NA,9,2,NA,NA,9,4,2,NA,NA,9,1,2,NA,8,1,2,NA,5,182
180972012,4,2,1,2,15,2,1,PRODUCTO2,2,7,8,1,2,NA,8,2,NA,NA,9,8,275,51,NA,NA,NA,0,NA,NA,NA,NA,9,8,1,2,NA,9,2,NA,NA,8,5,2,NA,NA,8,1,2,NA,9,1,2,NA,4,182
181016136,4,2,1,3,15,2,2,PRODUCTO1,2,6,9,2,NA,NA,9,2,NA,NA,9,7,50,51,NA,NA,NA,0,NA,NA,NA,NA,9,7,2,NA,NA,8,2,NA,NA,9,5,2,NA,NA,9,2,NA,NA,7,2,NA,NA,5,781
181016136,4,2,1,3,15,2,2,PRODUCTO2,1,5,7,2,NA,NA,9,2,NA,NA,8,9,51,275,86,NA,NA,0,NA,NA,NA,NA,8,9,2,NA,NA,7,2,NA,NA,9,4,3,NA,1,9,2,NA,NA,8,2,NA,NA,5,781
180946716,4,2,2,3,32,3,2,PRODUCTO1,2,6,5,3,NA,2,7,3,NA,2,7,7,50,NA,NA,NA,NA,0,NA,NA,NA,NA,9,7,2,NA,NA,8,2,NA,NA,9,5,3,NA,2,8,3,NA,2,8,2,NA,NA,4,781
180946716,4,2,2,3,32,3,2,PRODUCTO2,1,7,9,3,NA,2,7,3,NA,2,9,8,51,NA,NA,NA,NA,0,NA,NA,NA,NA,9,7,1,1,NA,7,3,NA,2,7,5,3,NA,2,7,2,NA,NA,7,2,NA,NA,5,781
180977203,4,2,1,3,21,2,2,PRODUCTO1,2,6,7,2,NA,NA,8,2,NA,NA,9,7,50,115,NA,NA,NA,0,NA,NA,NA,NA,8,9,2,NA,NA,9,2,NA,NA,8,4,2,NA,NA,8,2,NA,NA,9,2,NA,NA,4,781
180977203,4,2,1,3,21,2,2,PRODUCTO2,1,6,6,1,2,NA,7,1,2,NA,7,7,57,51,115,NA,NA,0,NA,NA,NA,NA,8,7,1,2,NA,8,2,NA,NA,8,3,1,2,NA,8,2,NA,NA,7,1,2,NA,4,781
181009667,17,2,2,3,40,3,1,PRODUCTO1,1,6,8,2,NA,NA,8,2,NA,NA,8,8,50,275,51,NA,NA,0,NA,NA,NA,NA,8,9,2,NA,NA,9,2,NA,NA,8,5,2,NA,NA,8,2,NA,NA,8,2,NA,NA,5,182
181009667,17,2,2,3,40,3,1,PRODUCTO2,2,6,9,3,NA,1,7,3,NA,1,8,8,111,51,NA,NA,NA,0,NA,NA,NA,NA,8,8,3,NA,1,9,2,NA,NA,9,5,2,NA,NA,9,2,NA,NA,9,2,NA,NA,5,182
180947744,4,2,2,3,15,2,2,PRODUCTO1,2,6,8,1,2,NA,5,1,2,NA,3,7,50,NA,NA,NA,NA,0,NA,NA,NA,NA,8,6,1,2,NA,3,3,NA,2,8,4,1,2,NA,8,1,2,NA,9,1,2,NA,4,182
180947744,4,2,2,3,15,2,2,PRODUCTO2,1,6,3,1,2,NA,6,1,2,NA,4,4,87,NA,NA,NA,NA,390,NA,NA,NA,NA,3,6,1,2,NA,9,1,2,NA,9,5,1,2,NA,9,1,2,NA,4,1,2,NA,3,182
